Symbol,Name,LastSale,MarketCap,ADR TSO,IPOyear,Sector,Industry,Summary Quote
TREE,"LendingTree, Inc.",51.11,578889084.1,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/tree
FFIC,Flushing Financial Corporation,19.52,578777681.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ffic
FSAM,Fifth Street Asset Management Inc.,11.83,577976973.2,n/a,2014,Finance,Investment Managers,http://www.nasdaq.com/symbol/fsam
WAC,Walter Investment Management Corp.,15.29,576713158.7,n/a,n/a,Finance,Finance: Consumer Services,http://www.nasdaq.com/symbol/wac
HTLF,"Heartland Financial USA, Inc.",30.97,572321542.9,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/htlf
GTY,Getty Realty Corporation,17.09,571094359.6,n/a,n/a,Finance,Real Estate,http://www.nasdaq.com/symbol/gty
DCOM,"Dime Community Bancshares, Inc.",15.48,570487102.6,n/a,n/a,Finance,Savings Institutions,http://www.nasdaq.com/symbol/dcom
AI,Arlington Asset Investment Corp,24.67,566590734,n/a,n/a,Finance,Finance/Investors Services,http://www.nasdaq.com/symbol/ai
CTBI,"Community Trust Bancorp, Inc.",32.21,561655336.4,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/ctbi
INTL,INTL FCStone Inc.,29.43,555230088.2,n/a,n/a,Finance,Investment Bankers/Brokers/Service,http://www.nasdaq.com/symbol/intl
SBSI,"Southside Bancshares, Inc.",29.3,554279878.6,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/sbsi
BUSE,First Busey Corporation,6.36,552379457.8,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/buse
BNCN,BNC Bancorp,16.64,544015081,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/bncn
NATL,National Interstate Corporation,26.93,532704295.9,n/a,2005,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/natl
TCBK,TriCo Bancshares,23.43,532211606.5,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/tcbk
CSFL,"CenterState Banks, Inc.",11.77,532205843.7,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/csfl
HCI,"HCI Group, Inc.",47.46,521526692,n/a,n/a,Finance,Property-Casualty Insurers,http://www.nasdaq.com/symbol/hci
HVB,Hudson Valley Holding Corp.,26.04,520837862.2,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/hvb
GSBC,"Great Southern Bancorp, Inc.",37.22,510943914.6,n/a,1989,Finance,Major Banks,http://www.nasdaq.com/symbol/gsbc
WHG,Westwood Holdings Group Inc,60.32,506964567.2,n/a,n/a,Finance,Investment Managers,http://www.nasdaq.com/symbol/whg
KCLI,Kansas City Life Insurance Company,46.14,499474958.7,n/a,n/a,Finance,Life Insurance,http://www.nasdaq.com/symbol/kcli
FITBI,Fifth Third Bancorp,27.72,498960000,n/a,n/a,Finance,Major Banks,http://www.nasdaq.com/symbol/fitbi
